;BB;cond;age;zf0_Original;zf0_Original_mum;M_minus_NM;M_minus_NM_mum
233;18;m100;7.166666666666667;1.507493981120211;2.289931297050388;-40.60085573373078;-27.430984453390124
234;18;m100;7.166666666666667;1.507493981120211;2.025227591055243;-40.60085573373078;-43.39040893644267
235;18;m100;7.166666666666667;1.507493981120211;1.058360136420454;-40.60085573373078;-28.722859575132986
236;18;m100;7.166666666666667;1.507493981120211;1.8696613736655203;-40.60085573373078;-28.56925052994029
237;18;m100;7.166666666666667;1.507493981120211;-0.24958759571955705;-40.60085573373078;-29.648679952733062
238;18;m100;7.166666666666667;1.507493981120211;0.2049277405257317;-40.60085573373078;-29.626533712951527
239;18;m100;7.166666666666667;1.507493981120211;1.9163166513818304;-40.60085573373078;-37.920550804720506
240;18;m100;7.166666666666667;1.507493981120211;2.270852348092836;-40.60085573373078;-43.77831364015958
242;18;m100;7.166666666666667;1.507493981120211;1.4605798177551943;-40.60085573373078;-37.28523250858757
243;18;m100;7.166666666666667;1.7772688634004215;2.289931297050388;-42.49673774729149;-27.430984453390124
244;18;m100;7.166666666666667;1.7772688634004215;2.025227591055243;-42.49673774729149;-43.39040893644267
245;18;m100;7.166666666666667;1.7772688634004215;1.058360136420454;-42.49673774729149;-28.722859575132986
246;18;m100;7.166666666666667;1.7772688634004215;1.8696613736655203;-42.49673774729149;-28.56925052994029
247;18;m100;7.166666666666667;1.7772688634004215;-0.24958759571955705;-42.49673774729149;-29.648679952733062
248;18;m100;7.166666666666667;1.7772688634004215;0.2049277405257317;-42.49673774729149;-29.626533712951527
249;18;m100;7.166666666666667;1.7772688634004215;1.9163166513818304;-42.49673774729149;-37.920550804720506
250;18;m100;7.166666666666667;1.7772688634004215;2.270852348092836;-42.49673774729149;-43.77831364015958
252;18;m100;7.166666666666667;1.7772688634004215;1.4605798177551943;-42.49673774729149;-37.28523250858757
253;18;m100;7.166666666666667;2.423834695929775;2.289931297050388;-46.56992738692804;-27.430984453390124
254;18;m100;7.166666666666667;2.423834695929775;2.025227591055243;-46.56992738692804;-43.39040893644267
255;18;m100;7.166666666666667;2.423834695929775;1.058360136420454;-46.56992738692804;-28.722859575132986
256;18;m100;7.166666666666667;2.423834695929775;1.8696613736655203;-46.56992738692804;-28.56925052994029
257;18;m100;7.166666666666667;2.423834695929775;-0.24958759571955705;-46.56992738692804;-29.648679952733062
258;18;m100;7.166666666666667;2.423834695929775;0.2049277405257317;-46.56992738692804;-29.626533712951527
259;18;m100;7.166666666666667;2.423834695929775;1.9163166513818304;-46.56992738692804;-37.920550804720506
260;18;m100;7.166666666666667;2.423834695929775;2.270852348092836;-46.56992738692804;-43.77831364015958
262;18;m100;7.166666666666667;2.423834695929775;1.4605798177551943;-46.56992738692804;-37.28523250858757
263;18;m100;7.166666666666667;2.0189672830856398;2.289931297050388;-39.118563764318765;-27.430984453390124
264;18;m100;7.166666666666667;2.0189672830856398;2.025227591055243;-39.118563764318765;-43.39040893644267
265;18;m100;7.166666666666667;2.0189672830856398;1.058360136420454;-39.118563764318765;-28.722859575132986
266;18;m100;7.166666666666667;2.0189672830856398;1.8696613736655203;-39.118563764318765;-28.56925052994029
267;18;m100;7.166666666666667;2.0189672830856398;-0.24958759571955705;-39.118563764318765;-29.648679952733062
268;18;m100;7.166666666666667;2.0189672830856398;0.2049277405257317;-39.118563764318765;-29.626533712951527
269;18;m100;7.166666666666667;2.0189672830856398;1.9163166513818304;-39.118563764318765;-37.920550804720506
270;18;m100;7.166666666666667;2.0189672830856398;2.270852348092836;-39.118563764318765;-43.77831364015958
272;18;m100;7.166666666666667;2.0189672830856398;1.4605798177551943;-39.118563764318765;-37.28523250858757
273;18;m100;7.166666666666667;-0.48311692329298755;2.289931297050388;-31.628223950354993;-27.430984453390124
274;18;m100;7.166666666666667;-0.48311692329298755;2.025227591055243;-31.628223950354993;-43.39040893644267
275;18;m100;7.166666666666667;-0.48311692329298755;1.058360136420454;-31.628223950354993;-28.722859575132986
276;18;m100;7.166666666666667;-0.48311692329298755;1.8696613736655203;-31.628223950354993;-28.56925052994029
277;18;m100;7.166666666666667;-0.48311692329298755;-0.24958759571955705;-31.628223950354993;-29.648679952733062
278;18;m100;7.166666666666667;-0.48311692329298755;0.2049277405257317;-31.628223950354993;-29.626533712951527
279;18;m100;7.166666666666667;-0.48311692329298755;1.9163166513818304;-31.628223950354993;-37.920550804720506
280;18;m100;7.166666666666667;-0.48311692329298755;2.270852348092836;-31.628223950354993;-43.77831364015958
282;18;m100;7.166666666666667;-0.48311692329298755;1.4605798177551943;-31.628223950354993;-37.28523250858757
283;18;m100;7.166666666666667;1.5534811024343669;2.289931297050388;-40.19135300664607;-27.430984453390124
284;18;m100;7.166666666666667;1.5534811024343669;2.025227591055243;-40.19135300664607;-43.39040893644267
285;18;m100;7.166666666666667;1.5534811024343669;1.058360136420454;-40.19135300664607;-28.722859575132986
286;18;m100;7.166666666666667;1.5534811024343669;1.8696613736655203;-40.19135300664607;-28.56925052994029
287;18;m100;7.166666666666667;1.5534811024343669;-0.24958759571955705;-40.19135300664607;-29.648679952733062
288;18;m100;7.166666666666667;1.5534811024343669;0.2049277405257317;-40.19135300664607;-29.626533712951527
289;18;m100;7.166666666666667;1.5534811024343669;1.9163166513818304;-40.19135300664607;-37.920550804720506
290;18;m100;7.166666666666667;1.5534811024343669;2.270852348092836;-40.19135300664607;-43.77831364015958
292;18;m100;7.166666666666667;1.5534811024343669;1.4605798177551943;-40.19135300664607;-37.28523250858757
293;18;m100;7.166666666666667;-1.4573122157818337;2.289931297050388;-25.863450692904223;-27.430984453390124
294;18;m100;7.166666666666667;-1.4573122157818337;2.025227591055243;-25.863450692904223;-43.39040893644267
295;18;m100;7.166666666666667;-1.4573122157818337;1.058360136420454;-25.863450692904223;-28.722859575132986
296;18;m100;7.166666666666667;-1.4573122157818337;1.8696613736655203;-25.863450692904223;-28.56925052994029
297;18;m100;7.166666666666667;-1.4573122157818337;-0.24958759571955705;-25.863450692904223;-29.648679952733062
298;18;m100;7.166666666666667;-1.4573122157818337;0.2049277405257317;-25.863450692904223;-29.626533712951527
299;18;m100;7.166666666666667;-1.4573122157818337;1.9163166513818304;-25.863450692904223;-37.920550804720506
300;18;m100;7.166666666666667;-1.4573122157818337;2.270852348092836;-25.863450692904223;-43.77831364015958
302;18;m100;7.166666666666667;-1.4573122157818337;1.4605798177551943;-25.863450692904223;-37.28523250858757
303;18;m100;7.166666666666667;-1.3219265729517886;2.289931297050388;-25.443844404265576;-27.430984453390124
304;18;m100;7.166666666666667;-1.3219265729517886;2.025227591055243;-25.443844404265576;-43.39040893644267
305;18;m100;7.166666666666667;-1.3219265729517886;1.058360136420454;-25.443844404265576;-28.722859575132986
306;18;m100;7.166666666666667;-1.3219265729517886;1.8696613736655203;-25.443844404265576;-28.56925052994029
307;18;m100;7.166666666666667;-1.3219265729517886;-0.24958759571955705;-25.443844404265576;-29.648679952733062
308;18;m100;7.166666666666667;-1.3219265729517886;0.2049277405257317;-25.443844404265576;-29.626533712951527
309;18;m100;7.166666666666667;-1.3219265729517886;1.9163166513818304;-25.443844404265576;-37.920550804720506
310;18;m100;7.166666666666667;-1.3219265729517886;2.270852348092836;-25.443844404265576;-43.77831364015958
312;18;m100;7.166666666666667;-1.3219265729517886;1.4605798177551943;-25.443844404265576;-37.28523250858757
313;18;m100;7.166666666666667;-0.9486867378816513;2.289931297050388;-26.863268575255404;-27.430984453390124
314;18;m100;7.166666666666667;-0.9486867378816513;2.025227591055243;-26.863268575255404;-43.39040893644267
315;18;m100;7.166666666666667;-0.9486867378816513;1.058360136420454;-26.863268575255404;-28.722859575132986
316;18;m100;7.166666666666667;-0.9486867378816513;1.8696613736655203;-26.863268575255404;-28.56925052994029
317;18;m100;7.166666666666667;-0.9486867378816513;-0.24958759571955705;-26.863268575255404;-29.648679952733062
318;18;m100;7.166666666666667;-0.9486867378816513;0.2049277405257317;-26.863268575255404;-29.626533712951527
319;18;m100;7.166666666666667;-0.9486867378816513;1.9163166513818304;-26.863268575255404;-37.920550804720506
320;18;m100;7.166666666666667;-0.9486867378816513;2.270852348092836;-26.863268575255404;-43.77831364015958
322;18;m100;7.166666666666667;-0.9486867378816513;1.4605798177551943;-26.863268575255404;-37.28523250858757
323;18;m100;7.166666666666667;-0.3224511224736643;2.289931297050388;-31.90469150388367;-27.430984453390124
